Epoch,Train Loss,Validation Accuracy,Validation AUC
0,1.0671283602714539,0.8952380952380953,0.9462585034013606
1,0.39018017053604126,0.9238095238095239,0.9856462585034014
2,0.16741063445806503,0.92,0.9911791383219954
3,0.1642657369375229,0.9161904761904762,0.9950793650793651
4,0.07462892308831215,0.9295238095238095,0.9958049886621316
5,0.0516512356698513,0.9466666666666667,0.9960317460317458
6,0.0414116196334362,0.9542857142857143,0.9960997732426304
7,0.03636723756790161,0.9676190476190476,0.9960997732426304
8,0.045149460434913635,0.9714285714285714,0.9960997732426304
9,0.034811925143003464,0.9733333333333334,0.9961451247165534
10,0.04319869354367256,0.9752380952380952,0.9966666666666667
11,0.03424145467579365,0.9752380952380952,0.9972108843537415
12,0.030249401926994324,0.9733333333333334,0.9977777777777778
13,0.018254671711474657,0.9752380952380952,0.9979591836734694
14,0.016262813936918974,0.9771428571428571,0.9980045351473923
15,0.01287138182669878,0.9771428571428571,0.9979591836734694
16,0.010239652823656797,0.979047619047619,0.9978684807256236
17,0.008260289672762156,0.9752380952380952,0.9977777777777779
18,0.008259818889200687,0.9752380952380952,0.9977097505668935
19,0.005832888651639223,0.9752380952380952,0.9976417233560091
20,0.004289757926017046,0.9676190476190476,0.9976190476190476
21,0.004087715642526746,0.9676190476190476,0.9975736961451247
22,0.0035055612679570913,0.9676190476190476,0.9976417233560091
23,0.005943333497270942,0.9676190476190476,0.9976643990929706
24,0.005741763859987259,0.9638095238095238,0.9976643990929706
25,0.005814908538013697,0.9638095238095238,0.9976643990929706
26,0.0031090305419638753,0.9676190476190476,0.997687074829932
27,0.0044835691805928946,0.9638095238095238,0.9977097505668935
28,0.005193552700802684,0.9638095238095238,0.997687074829932
29,0.0030269098933786154,0.9638095238095238,0.9977551020408163
30,0.0027969577349722385,0.9638095238095238,0.9977777777777778
31,0.0035532405599951744,0.9619047619047619,0.9978004535147392
